406.5558780 0.3405510 0.3411161
405.4093320 0.3407179 0.3412751
401.8855290 0.3412050 0.3417389
395.8159790 0.3420902 0.3425842
387.1064150 0.3434187 0.3438587
375.8202210 0.3453690 0.3457393
362.1687930 0.3479887 0.3482782
346.4696040 0.3513236 0.3515250
329.0864870 0.3552982 0.3554121
310.3634950 0.3597917 0.3598228
290.6185300 0.3652649 0.3653129
270.1531370 0.3720013 0.3721242
249.2334900 0.3794934 0.3796742
228.0918580 0.3876876 0.3879090
206.9519200 0.3975636 0.3978125
186.0225980 0.4089513 0.4092135
165.4874420 0.4222578 0.4225141
145.5281070 0.4376002 0.4378426
126.3199920 0.4549496 0.4551603
108.0216140 0.4764823 0.4766625
90.7926100 0.5005594 0.5006965
74.7873690 0.5281374 0.5282457
60.1494140 0.5603726 0.5604406
47.0195310 0.6007124 0.6008187
35.5280990 0.6526465 0.6526604
25.7825050 0.7215474 0.7216598
17.8491970 0.8176778 0.8176778
11.7197090 0.9161937 0.9161938
7.2735310 0.9748535 0.9748537
