# cmin	cmax	RAA	RAA-	RAA+
0.	5.	0.250121	0.110807	0.0821007
5.	10.	0.285464	0.116237	0.0871177
10.	20.	0.322171	0.101774	0.0854719
20.	30.	0.400936	0.100929	0.0919496
30.	40.	0.483623	0.103565	0.0816444
40.	50.	0.60039	0.0869104	0.0748649
50.	60.	0.744018	0.085964	0.0657897
60.	70.	0.909923	0.0353913	0.0327501
70.	100.	0.994424	0.000997727	0.000959972
