# cmin	cmax	Ratio	Ratio-	Ratio+
0.	30.	0.882566	0.104454	0.0627139
30.	50.	0.917609	0.0733676	0.043359
50.	70.	0.976744	0.0205394	0.03816
70.	90.	0.999909	0.00115769	0.00115521
