# ptmin [GeV]	ptmax [GeV]	RAA	RAA-	RAA+
0	4	0.108718	0.0236097	0.01144
4	9	0.118639	0.0271523	0.0138213
9	15	0.13085	0.032654	0.0160421
15	30	0.142776	0.0297486	0.0198875
