# cmin	cmax	RAA	RAA-	RAA+
0.	30.	0.0682747	0.0244485	0.0108934
30.	50.	0.22619	0.0606465	0.0348866
50.	70.	0.632002	0.062349	0.0511181
70.	90.	0.998013	0.000902709	0.00112768
