# ptmin [GeV]	ptmax [GeV]	RAA	RAA-	RAA+
0	3	0.117353	0.0244726	0.00933377
3	6	0.123438	0.0248463	0.0126906
6	9	0.128868	0.0304841	0.0132224
9	15	0.143577	0.0281276	0.0180762
15	30	0.152939	0.0289043	0.0151513
