# pT (min) [GeV]	pT (max) [GeV]	Ratio (central)	Ratio (lower)	Ratio (upper)
0.	4.	0.84175937	0.82115404	0.86236469
4.	9.	0.82338736	0.80850476	0.83826997
9.	15.	0.82096748	0.80381107	0.83812389
15.	30.	0.81884416	0.80076014	0.83692818
