# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	4	0.063110376	0.061474033	0.064746719
4	9	0.072479683	0.07127903	0.073680335
9	15	0.081399055	0.080015948	0.082782162
15	30	0.088016752	0.08643638	0.089597124
