# Npart	RAA (central)	RAA (lower)	RAA (upper)
0.97059866	1.	1.	1.
3.8095328	0.98764374	0.9842999	0.99098758
9.6677908	0.85423326	0.84389083	0.86457569
21.292762	0.51411618	0.50481998	0.52341239
41.050937	0.2683208	0.26099219	0.27564941
70.787143	0.14206055	0.13671729	0.14740381
112.39007	0.10449217	0.09910284	0.1098815
168.50284	0.078019342	0.07386442	0.082174264
243.53796	0.081808905	0.076941004	0.086676806
315.85912	0.07788405	0.072870336	0.082897764
374.98828	0.070989967	0.066215482	0.075764452
406.12232	0.0703939	0.065869498	0.074918302
