# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	2	0.29061202	0.28721573	0.29400832
2	4	0.29250665	0.29039521	0.29461808
4	6	0.30720949	0.30514171	0.30927727
6	9	0.32151295	0.31969397	0.32333194
9	12	0.33581842	0.33363706	0.33799977
12	30	0.3539196	0.35231291	0.35552628
