# Npart	RAA (central)	RAA (lower)	RAA (upper)
0.97059866	1.	1.	1.
3.8095328	0.99653992	0.99636171	0.99671813
9.6677908	0.92150436	0.92090273	0.92210598
21.292762	0.76553888	0.76465742	0.76642033
41.050937	0.62127223	0.62029759	0.62224687
70.787143	0.51589272	0.51487508	0.51691036
112.39007	0.42977791	0.42874718	0.43080865
168.50284	0.36699633	0.36590797	0.3680847
243.53796	0.31146456	0.3103624	0.31256673
315.85912	0.27936534	0.27826329	0.28046738
374.98828	0.25818239	0.25707326	0.25929152
406.12232	0.24611444	0.2450033	0.24722559
