# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	3	0.042368118	0.041629242	0.043106994
3	6	0.049723378	0.049009194	0.050437563
6	9	0.05556432	0.054836435	0.056292205
9	15	0.064950866	0.064156372	0.06574536
15	30	0.073586576	0.07264087	0.074532281
