# Npart	RAA (central)	RAA (lower)	RAA (upper)
0.97059866	1.	1.	1.
3.8095328	0.99188448	0.99167062	0.99209834
9.6677908	0.82714493	0.82574505	0.8285448
21.292762	0.47636417	0.47368545	0.47904289
41.050937	0.22204891	0.21943865	0.22465918
70.787143	0.11297381	0.11092282	0.1150248
112.39007	0.061472718	0.059944923	0.063000514
168.50284	0.039287751	0.038021923	0.040553579
243.53796	0.024715079	0.023720318	0.02570984
315.85912	0.019167064	0.018295768	0.020038361
374.98828	0.016301496	0.015517123	0.017085869
406.12232	0.015200324	0.014415665	0.015984983
