# Npart (min)	Npart (max)	Ratio (central)	Ratio (lower)	Ratio (upper)
2.3458157	15.146734	0.94126036	0.93917411	0.94334661
15.146734	55.455259	0.77174529	0.7628769	0.78061369
55.455259	139.17499	0.72869335	0.70821216	0.74917455
139.17499	406.12232	0.73982916	0.71305421	0.7666041
