# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	3	0.097893308	0.0914425	0.10434411
3	6	0.09903431	0.09490469	0.10316393
6	9	0.099978567	0.096777363	0.10317977
9	15	0.12031523	0.11615654	0.12447393
15	30	0.12282636	0.11856519	0.12708754
