# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	4	0.037291447	0.036550369	0.038032525
4	9	0.044166786	0.043519017	0.044814556
9	15	0.053322548	0.052419065	0.054226032
15	30	0.060255938	0.059173718	0.061338157
