# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	5	0.064481231	0.063133875	0.065828587
5	10	0.074958802	0.073703359	0.076214245
10	15	0.081577012	0.080022969	0.083131055
15	20	0.086219268	0.084096084	0.088342452
20	25	0.091240962	0.088261474	0.09422045
25	30	0.087905985	0.084058838	0.091753132
