# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	5	0.09744341	0.093471065	0.10141575
5	10	0.10105904	0.098396204	0.10372187
10	15	0.12505356	0.11995289	0.13015422
15	20	0.11901031	0.11326726	0.12475337
20	25	0.11791343	0.11099985	0.12482702
25	30	0.14148233	0.12928784	0.15367683
