# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	5	0.32974895	0.32332332	0.33617457
5	10	0.34382657	0.34011274	0.3475404
10	15	0.38375407	0.37631434	0.3911938
15	20	0.37839335	0.37070203	0.38608468
20	25	0.36254659	0.35518709	0.36990609
25	30	0.41789362	0.39439951	0.44138772
