# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	5	0.038416444	0.037728584	0.039104304
5	10	0.046693632	0.045992152	0.047395113
10	15	0.052965403	0.05197142	0.053959387
15	20	0.0595062	0.057921943	0.061090457
20	25	0.060444034	0.058532367	0.062355701
25	30	0.062008014	0.059727735	0.064288294
