# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	5	0.29589311	0.29435527	0.29743095
5	10	0.32155195	0.32012841	0.3229755
10	15	0.34180326	0.33986197	0.34374454
15	20	0.35543534	0.35265874	0.35821195
20	25	0.35645781	0.35289086	0.36002475
25	30	0.36410046	0.35945174	0.36874918
