# pT (min) [GeV]	pT (max) [GeV]	RAA (central)	RAA (lower)	RAA (upper)
0	5	0.045804974	0.045216706	0.046393243
5	10	0.0567801	0.056163951	0.057396249
10	15	0.064637629	0.063761997	0.065513262
15	20	0.072522303	0.071146644	0.073897961
20	25	0.073537743	0.071872969	0.075202517
25	30	0.076578996	0.074529732	0.078628259
